Block,Week,Day,Workout,Exercise,Sets,Reps,RPE/%1RM,Rest,Notes,LSRPE,Alternate Exercise
Block 2,2,5,LOWER #3,KNEE-BANDED GLUTE BRIDGE/BANDED HIP ABDUCTION,2,30/30,9RPE,1MIN,"FOCUS ON GETTING A BIG GLUTE PUMP",,KNEE-BANDED FROG PUMP/FROG PUMP
Block 2,2,5,LOWER #3,HANGING LEG RAISE,2,6-8,8RPE,1MIN,"FOCUS ON FLEXING YOUR SPINE",,CABLE CRUNCH
Block 2,3,1,LOWER #1,BACK SQUAT,2,4,80%,3MIN,"SIT YOUR HIPS BACK AND DOWN",,SMITH MACHINE SUMO SQUAT
Block 2,3,1,LOWER #1,STIFF LEG DEADLIFT,2,6-8,8RPE,2MIN,"BRACE YOUR LATS, HIGH HIPS",,DUMBBELL STIFF LEG SUMO DEADLIFT
Block 2,3,1,LOWER #1,BARBELL HIP THRUST,2,12-15,8RPE,2MIN,"CHIN AND RIBS TUCKED",,SMITH MACHINE HIP THRUST
Block 2,3,1,LOWER #1,DUMBBELL 45° HYPEREXTENSION,2,15-20,8RPE,2MIN,"ROUNDED UPPER BACK, EXTEND YOUR HIPS",,REVERSE HYPEREXTENSION
Block 2,3,1,LOWER #1,ECCENTRIC-ACCENTUATED LYING LEG CURL,2,8-10,8RPE,1MIN,"3-SECOND LOWERING PHASE",,SLIDING LEG CURL
Block 2,3,1,LOWER #1,MACHINE SEATED HIP ABDUCTION,2,25-30,9RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 2,3,1,LOWER #1,RUSSIAN TWIST,2,20,8RPE,1MIN,"ROTATE YOUR TORSO",,BICYCLE CRUNCH
Block 2,3,2,UPPER #1,SEATED DUMBBELL SHOULDER PRESS,3,4-6,9RPE,2MIN,"USE A FULL ROM",,MACHINE SHOULDER PRESS
Block 2,3,2,UPPER #1,PRONATED PULLDOWN,3,6-8,8RPE,2MIN,"PULL WITH YOUR ELBOWS DOWN AND IN",,SINGLE-ARM PULLDOWN
Block 2,3,2,UPPER #1,DUMBBELL INCLINE PRESS,2,10-12,8RPE,2MIN,"SHOULDER BLADES BACK AND DOWN",,MACHINE CHEST PRESS
Block 2,3,2,UPPER #1,CHEST-SUPPORTED T-BAR ROW,2,12-15,9RPE,2MIN,"FOCUS ON RETRACTING/PROTRACTING YOUR SCAPULAE",,CABLE SEATED ROW
Block 2,3,2,UPPER #1,DUMBBELL SKULL CRUSHER,2,8-12,9RPE,1MIN,"KEEP YOUR ELBOWS IN A FIXED POSITION",,V-BAR PRESSDOWN
Block 2,3,2,UPPER #1,HAMMER CURL,2,10-15,9RPE,1MIN,"FOCUS ON SQUEEZING YOUR BICEPS",,EZ BAR CURL
Block 2,3,2,UPPER #1,A1: CABLE LATERAL RAISE,3,12-15,9RPE,1MIN,"FOCUS ON SQUEEZING YOUR DELTS",,DUMBBELL LATERAL RAISE
Block 2,3,2,UPPER #1,A2: HIGH-TO-LOW FACE PULL,3,12-15,9RPE,1MIN,"PULL YOUR ELBOWS UP AND OUT",,DUMBBELL BENT OVER REAR DELT RAISE
Block 2,3,3,LOWER #2,SUMO DEADLIFT,2,6,77.5%,4MIN,"BRACE YOUR LATS, HIGH HIPS",,STIFF LEG SUMO DEADLIFT
Block 2,3,3,LOWER #2,DEFICIT CURTSY LUNGE,2,10-12,8RPE,2MIN,"ELEVATE 3-5, STRETCH YOUR GLUTES",,DB DEFICIT BULGARIAN SPLIT SQUAT
Block 2,3,3,LOWER #2,KNEE-BANDED MACHINE HIP THRUST,2,50,9RPE,2MIN,"DRIVE YOUR KNEES OUT",,KNEE-BANDED BODYWEIGHT HIP THRUST
Block 2,3,3,LOWER #2,SWISS BALL LEG CURL,2,8-12,9RPE,1MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,SEATED LEG CURL
Block 2,3,3,LOWER #2,MACHINE GLUTE KICKDOWN,2,15-20,9RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,MACHINE GLUTE KICKBACK
Block 2,3,3,LOWER #2,LATERAL BAND WALK,2,25-30,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,CABLE HIP ABDUCTION
Block 2,3,3,LOWER #2,MACHINE STANDING CALF RAISE,3,10-12,8RPE,1MIN,"PRESS ALL THE WAY UP TO YOUR TOES",,MACHINE SEATED CALF RAISE
Block 2,3,4,UPPER #2,CLOSE-GRIP BENCH PRESS,3,5,80%,2MIN,"TUCK YOUR ELBOWS",,BARBELL BENCH PRESS
Block 2,3,4,UPPER #2,SINGLE-ARM PULLDOWN,3,10-12,9RPE,2MIN,"PULL WITH YOUR ELBOWS DOWN AND IN",,NEUTRAL-GRIP PULLDOWN
Block 2,3,4,UPPER #2,MACHINE SHOULDER PRESS,2,12-15,9RPE,2MIN,"USE A FULL ROM",,ARNOLD PRESS
Block 2,3,4,UPPER #2,HAMMER STRENGTH MACHINE ROW,2,12-15,9RPE,2MIN,"PULL WITH YOUR ELBOWS OUT",,DUMBBELL ONE-ARM ROW
Block 2,3,4,UPPER #2,REVERSE PEC DEC,3,12-15,9RPE,1MIN,"KEEP YOUR SCAPULAE PROTRACTED",,SEATED FACE PULL
Block 2,3,4,UPPER #2,PRONE TRAP RAISE,3,15-20,10RPE,1MIN,"PULL YOUR ELBOWS UP AND OUT",,BAND REAR DELT PULL APART
Block 2,3,4,UPPER #2,A1: CONSTANT-TENSION DUMBBELL LATERAL RAISE,3,20-25,10RPE,0MIN,"FOCUS ON SQUEEZING YOUR DELTS",,CONSTANT-TENSION MACHINE SHOULDER PRESS
Block 2,3,4,UPPER #2,A2: DUMBBELL FRONT RAISE,3,15-20,10RPE,1MIN,"FOCUS ON SQUEEZING YOUR DELTS",,PLATE FRONT RAISE
Block 2,3,5,LOWER #3,BACK SQUAT,2,8,75%,3MIN,"SIT YOUR HIPS BACK AND DOWN",,SMITH MACHINE SUMO SQUAT
Block 2,3,5,LOWER #3,DUMBBELL 45° HYPEREXTENSION,2,20-25,9RPE,3MIN,"ROUNDED UPPER BACK, EXTEND YOUR HIPS",,REVERSE HYPEREXTENSION
Block 2,3,5,LOWER #3,PAUSE BARBELL HIP THRUST,2,10-12,8RPE,2MIN,"3-SECOND PAUSE",,PAUSE MACHINE HIP THRUST
Block 2,3,5,LOWER #3,CABLE PULL-THROUGH,2,20-25,8RPE,1MIN,"STRETCH YOUR GLUTES",,DB SUMO RDL
Block 2,3,5,LOWER #3,SEATED LEG CURL,2,12-15,9RPE,1MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,LYING LEG CURL
Block 2,3,5,LOWER #3,KNEE-BANDED GLUTE BRIDGE/BANDED HIP ABDUCTION,2,30/30,9RPE,1MIN,"FOCUS ON GETTING A BIG GLUTE PUMP",,KNEE-BANDED FROG PUMP/FROG PUMP
Block 2,3,5,LOWER #3,HANGING LEG RAISE,2,6-8,8RPE,1MIN,"FOCUS ON FLEXING YOUR SPINE",,CABLE CRUNCH
Block 2,4,1,LOWER #1,BACK SQUAT,2,4,82.5%,3MIN,"SIT YOUR HIPS BACK AND DOWN",,SMITH MACHINE SUMO SQUAT
Block 2,4,1,LOWER #1,STIFF LEG DEADLIFT,2,6-8,8RPE,2MIN,"BRACE YOUR LATS, HIGH HIPS",,DUMBBELL STIFF LEG SUMO DEADLIFT
Block 2,4,1,LOWER #1,BARBELL HIP THRUST,2,12-15,8RPE,2MIN,"CHIN AND RIBS TUCKED",,SMITH MACHINE HIP THRUST
Block 2,4,1,LOWER #1,DUMBBELL 45° HYPEREXTENSION,2,15-20,8RPE,2MIN,"ROUNDED UPPER BACK, EXTEND YOUR HIPS",,REVERSE HYPEREXTENSION
Block 2,4,1,LOWER #1,ECCENTRIC-ACCENTUATED LYING LEG CURL,2,8-10,8RPE,1MIN,"3-SECOND LOWERING PHASE",,SLIDING LEG CURL
Block 2,4,1,LOWER #1,MACHINE SEATED HIP ABDUCTION,2,25-30,9RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 2,4,1,LOWER #1,RUSSIAN TWIST,2,20,8RPE,1MIN,"ROTATE YOUR TORSO",,BICYCLE CRUNCH
Block 2,4,2,UPPER #1,SEATED DUMBBELL SHOULDER PRESS,3,4-6,9RPE,2MIN,"USE A FULL ROM",,MACHINE SHOULDER PRESS
Block 2,4,2,UPPER #1,PRONATED PULLDOWN,3,6-8,8RPE,2MIN,"PULL WITH YOUR ELBOWS DOWN AND IN",,SINGLE-ARM PULLDOWN
Block 2,4,2,UPPER #1,DUMBBELL INCLINE PRESS,2,10-12,8RPE,2MIN,"SHOULDER BLADES BACK AND DOWN",,MACHINE CHEST PRESS
Block 2,4,2,UPPER #1,CHEST-SUPPORTED T-BAR ROW,2,12-15,9RPE,2MIN,"FOCUS ON RETRACTING/PROTRACTING YOUR SCAPULAE",,CABLE SEATED ROW
Block 2,4,2,UPPER #1,DUMBBELL SKULL CRUSHER,2,8-12,9RPE,1MIN,"KEEP YOUR ELBOWS IN A FIXED POSITION",,V-BAR PRESSDOWN
Block 2,4,2,UPPER #1,HAMMER CURL,2,10-15,9RPE,1MIN,"FOCUS ON SQUEEZING YOUR BICEPS",,EZ BAR CURL
Block 2,4,2,UPPER #1,A1: CABLE LATERAL RAISE,3,12-15,9RPE,1MIN,"FOCUS ON SQUEEZING YOUR DELTS",,DUMBBELL LATERAL RAISE
Block 2,4,2,UPPER #1,A2: HIGH-TO-LOW FACE PULL,3,12-15,9RPE,1MIN,"PULL YOUR ELBOWS UP AND OUT",,DUMBBELL BENT OVER REAR DELT RAISE
Block 2,4,3,LOWER #2,SUMO DEADLIFT,2,6,80%,4MIN,"BRACE YOUR LATS, HIGH HIPS",,STIFF LEG SUMO DEADLIFT
Block 2,4,3,LOWER #2,DEFICIT CURTSY LUNGE,2,10-12,8RPE,2MIN,"ELEVATE 3-5, STRETCH YOUR GLUTES",,DB DEFICIT BULGARIAN SPLIT SQUAT
Block 2,4,3,LOWER #2,KNEE-BANDED MACHINE HIP THRUST,2,50,9RPE,2MIN,"DRIVE YOUR KNEES OUT",,KNEE-BANDED BODYWEIGHT HIP THRUST
Block 2,4,3,LOWER #2,SWISS BALL LEG CURL,2,8-12,9RPE,1MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,SEATED LEG CURL
Block 2,4,3,LOWER #2,MACHINE GLUTE KICKDOWN,2,15-20,9RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,MACHINE GLUTE KICKBACK
Block 2,4,3,LOWER #2,LATERAL BAND WALK,2,25-30,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,CABLE HIP ABDUCTION
Block 2,4,3,LOWER #2,MACHINE STANDING CALF RAISE,3,10-12,8RPE,1MIN,"PRESS ALL THE WAY UP TO YOUR TOES",,MACHINE SEATED CALF RAISE
Block 2,4,4,UPPER #2,CLOSE-GRIP BENCH PRESS,3,5,82.5%,2MIN,"TUCK YOUR ELBOWS",,BARBELL BENCH PRESS
Block 2,4,4,UPPER #2,SINGLE-ARM PULLDOWN,3,10-12,9RPE,2MIN,"PULL WITH YOUR ELBOWS DOWN AND IN",,NEUTRAL-GRIP PULLDOWN
Block 2,4,4,UPPER #2,MACHINE SHOULDER PRESS,2,12-15,9RPE,2MIN,"USE A FULL ROM",,ARNOLD PRESS
Block 2,4,4,UPPER #2,HAMMER STRENGTH MACHINE ROW,2,12-15,9RPE,2MIN,"PULL WITH YOUR ELBOWS OUT",,DUMBBELL ONE-ARM ROW
Block 2,4,4,UPPER #2,REVERSE PEC DEC,3,12-15,9RPE,1MIN,"KEEP YOUR SCAPULAE PROTRACTED",,SEATED FACE PULL
Block 2,4,4,UPPER #2,PRONE TRAP RAISE,3,15-20,10RPE,1MIN,"PULL YOUR ELBOWS UP AND OUT",,BAND REAR DELT PULL APART
Block 2,4,4,UPPER #2,A1: CONSTANT-TENSION DUMBBELL LATERAL RAISE,3,20-25,10RPE,0MIN,"FOCUS ON SQUEEZING YOUR DELTS",,CONSTANT-TENSION MACHINE SHOULDER PRESS
Block 2,4,4,UPPER #2,A2: DUMBBELL FRONT RAISE,3,15-20,10RPE,1MIN,"FOCUS ON SQUEEZING YOUR DELTS",,PLATE FRONT RAISE
Block 2,4,5,LOWER #3,BACK SQUAT,2,8,77.5%,3MIN,"SIT YOUR HIPS BACK AND DOWN",,SMITH MACHINE SUMO SQUAT
Block 2,4,5,LOWER #3,DUMBBELL 45° HYPEREXTENSION,2,20-25,9RPE,3MIN,"ROUNDED UPPER BACK, EXTEND YOUR HIPS",,REVERSE HYPEREXTENSION
Block 2,4,5,LOWER #3,PAUSE BARBELL HIP THRUST,2,10-12,8RPE,2MIN,"3-SECOND PAUSE",,PAUSE MACHINE HIP THRUST
Block 2,4,5,LOWER #3,CABLE PULL-THROUGH,2,20-25,8RPE,1MIN,"STRETCH YOUR GLUTES",,DB SUMO RDL
Block 2,4,5,LOWER #3,SEATED LEG CURL,2,12-15,9RPE,1MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,LYING LEG CURL
Block 2,4,5,LOWER #3,KNEE-BANDED GLUTE BRIDGE/BANDED HIP ABDUCTION,2,30/30,9RPE,1MIN,"FOCUS ON GETTING A BIG GLUTE PUMP",,KNEE-BANDED FROG PUMP/FROG PUMP
Block 2,4,5,LOWER #3,HANGING LEG RAISE,2,6-8,8RPE,1MIN,"FOCUS ON FLEXING YOUR SPINE",,CABLE CRUNCH
